expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
NA,WBOC,1729 North Salisbury Blvd  Salisbury  Maryland 21801,Business/Group/Organization,14983,Carozza  Mary Beth Friends of,Media,TV,NA,Check,NA,Electoral,NA,NA
NA,WMDT,202 Downtown Plaza  Salisbury  Maryland 21803,Business/Group/Organization,14485,Carozza  Mary Beth Friends of,Media,TV,NA,Check,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,15,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,15,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,7,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,5,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,3,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,2,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,2,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,2,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,2,Smith Post  Jana Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
NA,Strathmore Bel Pre Civic Association,2308 Eagle Rock Place  Silver Spring  Maryland 20906,Business/Group/Organization,125,Nice  Frank Citizens For,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,The Korean Times,7601 Little River Tpke  Annandale  Virginia 22003,Business/Group/Organization,350,Nice  Frank Citizens For,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,585.71,Nice  Frank Citizens For,Media,Graphic Design,NA,EFT,NA,Electoral,NA,NA
NA,Omni Solutions Agency,PO BOX 111  St Michaels  Maryland 21663,Business/Group/Organization,750,Mautz  (John) Johnny Friends of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,NA,NA
NA,The Talbot Quide,PO Box 715  Preston  Maryland 21655,Business/Group/Organization,560.5,Mautz  (John) Johnny Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Yocheved Weiss,3315 Midfield Road  Baltimore  Maryland 21208,Individual,3000,Cassilly  Bob Citizens for,Media,Consulting Fees - Media,NA,Check,NA,Electoral,NA,NA
NA,ROBERT GABRIEL  CASSILLY,112 EAST BROADWAY  BEL AIR  Maryland 21014,Self (Candidate),2066.83,Cassilly  Bob Citizens for,Media,Online Advertising,NA,Check,Facebook,Electoral,NA,NA
NA,Forever Media,350 Byrd Ave  Cumberland  Maryland 21502,Business/Group/Organization,410,Atkinson  Bill (William) Friends of,Media,Radio,NA,Check,NA,Electoral,NA,NA
NA,Jeffrey Novosel,12524 Cross Ridge way  Germantown  Frederick  Maryland 20874,Business/Group/Organization,250,Sefcik  Kyle for Governor,Media,Videos,NA,Check,NA,Electoral,Check 0995 to Jeff Novosel for campaign video production,NA
NA,Scale to WIN,13742 Harper Street  Santa Ana  California 92703-1419,Business/Group/Organization,924.14,Howard Coordinated Slate,Media,Phones / Robo calls,NA,EFT,NA,Electoral,NA,NA
